Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B3,D3,1,H5,Exposure,99.10586693,7/24/2019,11:29
ICP,SAB,B4,D3,1,H5,Exposure,226.5146188,7/24/2019,11:34
ICP,SAB,B5,D3,1,H5,Exposure,128.1109124,7/24/2019,11:38
ICP,SAB,B1,D3,1,H6,Exposure,95.760912,7/24/2019,12:21
ICP,SAB,B2,D3,1,H6,Exposure,92.62272827,7/24/2019,12:27
ICP,SAB,B3,D3,1,H6,Exposure,94.79597973,7/24/2019,12:30
ICP,SAB,B4,D3,1,H6,Exposure,135.9316023,7/24/2019,12:34
ICP,SAB,B5,D3,1,H6,Exposure,145.0381505,7/24/2019,12:38
ICP,SAB,B1,D3,1,H7,Exposure,103.2100599,7/24/2019,13:22
ICP,SAB,B2,D3,1,H7,Exposure,90.4268612,7/24/2019,13:28
ICP,SAB,B3,D3,1,H7,Exposure,94.0130492,7/24/2019,13:31
ICP,SAB,B4,D3,1,H7,Exposure,122.1673173,7/24/2019,13:34
ICP,SAB,B5,D3,1,H7,Exposure,170.0639273,7/24/2019,13:37
ICP,SAB,B1,D3,1,H8,Exposure,103.9660671,7/24/2019,14:17
ICP,SAB,B2,D3,1,H8,Exposure,91.2991772,7/24/2019,14:20
ICP,SAB,B3,D3,1,H8,Exposure,92.7013444,7/24/2019,14:22
ICP,SAB,B4,D3,1,H8,Exposure,136.4840691,7/24/2019,14:26
ICP,SAB,B5,D3,1,H8,Exposure,150.7728205,7/24/2019,14:30
ICP,SAB,B1,D3,1,H9,Exposure,97.4861592,7/24/2019,15:20
ICP,SAB,B2,D3,1,H9,Exposure,97.70369973,7/24/2019,15:25
ICP,SAB,B3,D3,1,H9,Exposure,101.7885079,7/24/2019,15:29
ICP,SAB,B4,D3,1,H9,Exposure,125.3130396,7/24/2019,15:33
ICP,SAB,B5,D3,1,H9,Exposure,146.3800095,7/24/2019,15:37
ICP,SAB,B1,D3,1,H10,Exposure,90.56793947,7/24/2019,16:20
ICP,SAB,B2,D3,1,H10,Exposure,96.73445973,7/24/2019,16:22
ICP,SAB,B3,D3,1,H10,Exposure,101.8951243,7/24/2019,16:25
ICP,SAB,B4,D3,1,H10,Exposure,130.6750907,7/24/2019,16:27
ICP,SAB,B5,D3,1,H10,Exposure,130.7644761,7/24/2019,16:29
ICP,SAB,B1,D3,1,H11,Exposure,81.1189264,7/24/2019,17:22
ICP,SAB,B2,D3,1,H11,Exposure,101.1025013,7/24/2019,17:24
ICP,SAB,B3,D3,1,H11,Exposure,87.8874524,7/24/2019,17:27
ICP,SAB,B4,D3,1,H11,Exposure,131.1090948,7/24/2019,17:32
ICP,SAB,B5,D3,1,H11,Exposure,144.9056877,7/24/2019,17:34
ICP,SAB,B1,D3,1,H12,Exposure,83.370794,7/24/2019,18:22
ICP,SAB,B2,D3,1,H12,Exposure,94.64413213,7/24/2019,18:25
ICP,SAB,B3,D3,1,H12,Exposure,88.65099813,7/24/2019,18:29
ICP,SAB,B4,D3,1,H12,Exposure,145.0672277,7/24/2019,18:31
ICP,SAB,B5,D3,1,H12,Exposure,132.8095725,7/24/2019,18:35
ICP,ROB,B1,D3,1,H0,Exposure,3.35,7/24/2019,19:01
ICP,ROB,B2,D3,1,H0,Exposure,1,7/24/2019,19:11
ICP,ROB,B3,D3,1,H0,Exposure,3.35,7/24/2019,19:19
ICP,ROB,B4,D3,1,H0,Exposure,3.35,7/24/2019,19:28
ICP,ROB,B5,D3,1,H0,Exposure,3.35,7/24/2019,19:35
ICP,ROB,B1,D4,1,.,Exposure,3.35,7/25/2019,8:19
ICP,ROB,B2,D4,1,.,Exposure,1,7/25/2019,8:23
ICP,ROB,B3,D4,1,.,Exposure,1,7/25/2019,8:27
ICP,ROB,B4,D4,1,.,Exposure,1,7/25/2019,8:30
ICP,ROB,B5,D4,1,.,Exposure,1,7/25/2019,8:33
ICP,SAB,B1,D4,1,.,Exposure,70.13312947,7/25/2019,9:03
ICP,SAB,B2,D4,1,.,Exposure,72.83084747,7/25/2019,9:08
